modularity_class,Degree_mean,Degree_var,betweenesscentrality_mean,betweenesscentrality_var,clusteringcoefficient_mean,clusteringcoefficient_var,communitysize
0,4,0,0,0,1,0,7
1,1.333333333,0.333333333,0.333333333,0.333333333,0,0,2
2,2,0,0,0,0,0,3
3,7.43902439,84.32339657,90387.7378,2.57E+11,0.0806777073,0.0317209808,190
4,4.75,0.25,6773.75,61160190.08,0.54166675,0.00694447222,59
5,2,0,0,0,0,0,4
6,2,1,0.333333333,0.333333333,0,0,5
7,2.25,3.583333333,13546.25,734003556.3,0,0,59
8,2.666666667,1.333333333,0.666666667,1.333333333,0,0,8
9,2,0,0,0,0.5,0,9
10,2.333333333,5.333333333,20700.09048,1285481237,0,0,73
11,2,0,1,0,0.5,0,27
12,2,0,0,0,0,0,12
13,3.085714286,78.72773109,20.25714286,14362.31429,0,0,138
14,2,0,0,0,0,0,13
15,2,1,0.333333333,0.333333333,0,0,15
16,2.666666667,1.333333333,0.666666667,1.333333333,0,0,17
17,3.2,5.288888889,16.2,575.3444444,0.2714285,0.0541950045,23
18,3.25,6.785714286,5.25,74.21428571,0.2375,0.130615054,1142
19,6,0,7296.059524,70925238.16,0.6875,0.015625,73
20,1.333333333,0.333333333,0.333333333,0.333333333,0,0,18
21,5,2,22820.10952,704769858.8,0.525,0.0182407593,73
22,2,0,0,0,0,0,20
23,5.5,0.333333333,14589.33333,283765776.3,0.7083335,0.0023147963,59
24,3.947368421,45.51503759,21436.42105,1.08E+10,0.0756708246,0.0218185319,2181
25,3.5,3,13547,244694945.3,0.625,0.1875,59
26,2.666666667,8.5,4.333333333,92,0,0,21
27,3.875,8.696428571,20370.25,1472583517,0,0,1656
28,9.571428571,221.4945055,183686.2157,3.73E+11,0.524771,0.0734803364,73
29,2.333333333,0.333333333,13,144,0.388889,0.037036963,23
30,2,3,9040.333333,245182880.3,0,0,1641
31,6,0.666666667,8753.87738,51079201.36,0.69583325,0.0284027472,73
32,7.25,171.5,153625.4951,4.30E+11,0.473833958,0.134037979,59
33,3.666666667,0.333333333,10.33333333,100.3333333,0.611111,0.120370463,23
34,1.333333333,0.333333333,0.333333333,0.333333333,0,0,24
35,2,0,0,0,0,0,25
36,2.666666667,1.333333333,0.666666667,1.333333333,0,0,26
37,2,0,1,0,0.5,0,91
38,4,0,0,0,1,0,28
39,5,0.666666667,6857.795821,62945732.79,0.49166675,0.0225000389,59
40,2,0,0,0,0,0,30
41,4.75,0.25,6773.75,61160190.08,0.54166675,0.00694447222,59
42,3.333333333,0.333333333,0.333333333,0.333333333,0.833333333,0.0833333333,32
43,2,0,0,0,0,0,33
44,3.25,0.25,3.54166675,0.951388806,0.2916665,0.00694438889,73
45,6,3,49791.20196,1114240070,0.383333333,0.0686112222,1367
46,2,0,0,0,0,0,34
47,3.333333333,5.333333333,37511.33333,4221300385,0,0,270
48,4.5,0.333333333,13546.5,244640760.3,0.541667,0.0208333333,59
49,1.333333333,0.333333333,0.333333333,0.333333333,0,0,35
50,1.333333333,0.333333333,0.333333333,0.333333333,0,0,6
51,2.25,3.583333333,13546.25,734003556.3,0,0,59
52,1.333333333,0.333333333,0,0,0,0,36
53,2,0,0,0,0,0,37
54,3.5,18,5.25,220.5,0,0,43
55,2,0,0,0,0,0,38
56,1.333333333,0.333333333,0.333333333,0.333333333,0,0,16
57,2.666666667,1.333333333,0.666666667,1.333333333,0,0,1
58,4,2.666666667,1,4,0.58333325,0.250000056,2263
59,3.666666667,33.33333333,9.166666667,1008.333333,0,0,42
60,4,1.333333333,13547,366997263.2,0.4166665,0.0092592963,59
61,4,37.47368421,44730.95,2.65E+10,0.1170996,0.0762132322,1656
62,5.181818182,68.72727273,66332.88609,6.83E+10,0.5463635,0.0920527319,56
63,5.75,0.25,16661.99354,361908756,0.6333335,0.0164814963,59
64,5,0.666666667,35949.66667,2017018968,0.58333325,0.00462964815,59
